,"citrus fruit,semi-finished bread,margarine,ready soups"
97,"whole milk,yogurt,brown bread"
98,"citrus fruit,tropical fruit"
99,"soda,misc. beverages"
100,"sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner"
101,"frankfurter,rolls/buns,bottled water"
102,"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags"
103,soda
104,"rolls/buns,fruit/vegetable juice"
105,"beef,citrus fruit,berries,root vegetables,brown bread,detergent"
106,"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags"
107,processed cheese
108,"tropical fruit,pip fruit"
109,"frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes"
110,"packaged fruit/vegetables,bottled water"
111,"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers"
112,"berries,whipped/sour cream"
113,"citrus fruit,berries,UHT-milk,processed cheese"
114,"tropical fruit,whole milk,yogurt"
115,"hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine"
116,"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes"
117,"whole milk,cream cheese,soda"
118,"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags"
119,"frankfurter,sausage,long life bakery product,waffles"
120,"packaged fruit/vegetables,dessert,semi-finished bread,canned beer"
121,"pastry,soda"
122,"other vegetables,red/blush wine"
123,misc. beverages
124,"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles"
125,sparkling wine
126,specialty bar
127,"sausage,butter milk,rolls/buns"
128,curd cheese
129,"frankfurter,dessert"
130,"whole milk,yogurt,beverages,brown bread,shopping bags"
131,newspapers
132,"berries,soda"
133,"curd,flour,liquor (appetizer)"
134,"tropical fruit,other vegetables,coffee"
135,soda
136,"rolls/buns,Instant food products"
137,canned beer
138,canned beer
139,"frankfurter,sausage,whole milk,rolls/buns,margarine"
140,"other vegetables,misc. beverages,canned beer"
141,"whole milk,frozen vegetables"
142,whole milk
143,"citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers"
144,"frankfurter,rolls/buns"
145,"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder"
146,"butter milk,yogurt,honey,soda,detergent"
147,"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care"
148,"pasta,popcorn"
149,"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags"
150,"sausage,pork,citrus fruit,dessert,white bread,dishes,candles"
151,rolls/buns
152,"grapes,other vegetables,curd,dessert,yogurt,napkins"
153,"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer"
154,"coffee,shopping bags"
155,popcorn
156,"whole milk,rolls/buns,sugar,bottled water,soda"
157,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products"
158,"beef,herbs,flour,cling film/bags,flower soil/fertilizer"
159,"whole milk,butter,dessert,rolls/buns"
160,"frankfurter,soda,chewing gum"
161,"tropical fruit,specialty cheese,bottled water"
162,canned beer
163,"finished products,other vegetables,frozen vegetables,bottled beer"
164,"beverages,soda"
165,"hamburger meat,root vegetables,whole milk"
166,"whole milk,pastry,long life bakery product"
167,"finished products,white wine,shopping bags"
168,other vegetables
169,"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer"
170,other vegetables
171,"curd,butter milk,cocoa drinks,salty snack,popcorn"
172,bottled beer
173,"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags"
174,"whole milk,cream cheese,cereals,dog food"
175,"whole milk,salt"
176,"dessert,ice cream"
177,"sausage,soft cheese,coffee"
178,"other vegetables,bottled water,waffles,dishes,shopping bags"
179,"ham,whole milk,rolls/buns"
180,"other vegetables,ice cream"
181,"other vegetables,bottled water"
182,"soda,bottled beer,white wine,prosecco"
183,"herbs,candy"
184,"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles"
185,"rolls/buns,canned beer"
186,"curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags"
187,"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags"
188,other vegetables
189,dog food
190,specialty bar
191,"curd,salt,liquor (appetizer),detergent,shopping bags"
192,"frankfurter,rolls/buns"
193,soda
194,"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread"
195,canned beer
196,"pork,beef,pip fruit,herbs,spices"
197,"frankfurter,citrus fruit,UHT-milk,margarine,sugar"
198,"sausage,bottled beer,liquor (appetizer)"
199,canned beer
200,specialty chocolate
201,"curd,rolls/buns"
202,canned beer
203,"whole milk,bottled water,newspapers"
204,"rolls/buns,chewing gum"
205,"pork,root vegetables,other vegetables,whole milk,dishes"
206,"citrus fruit,pastry"
207,potted plants
208,"rolls/buns,pastry,soda"
209,"butter,yogurt,bottled water,soda,make up remover,hygiene articles"
210,"condensed milk,sugar,coffee,shopping bags"
211,"sausage,other vegetables,yogurt,soda,shopping bags"
212,"whole milk,beverages,UHT-milk,soda"
213,"sausage,pork,beef,whole milk,rolls/buns,margarine"
214,beverages
215,"beverages,specialty bar"
216,"bottled water,fruit/vegetable juice"
217,newspapers
218,"cleaner,female sanitary products"
219,"sausage,soda,newspapers,shopping bags"
220,newspapers
221,"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware"
222,"misc. beverages,newspapers"
223,white wine
224,"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags"
225,"meat,curd,bottled beer,cake bar"
226,"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags"
227,"ice cream,rolls/buns,canned beer"
228,canned beer
229,"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags"
230,"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water"
231,"whole milk,mustard,bottled water"
232,"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)"
233,"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product"
234,"meat,other vegetables,butter,rolls/buns"
235,"root vegetables,beverages,Instant food products,pickled vegetables,detergent"
236,"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns"
237,"whole milk,whipped/sour cream,semi-finished bread,margarine"
238,"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins"
239,"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers"
240,"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins"
241,"citrus fruit,whole milk,rolls/buns"
242,"sausage,oil,hygiene articles,napkins"
243,"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer"
244,"hard cheese,rolls/buns,bottled water,newspapers"
245,"cream cheese,rolls/buns,soda,chocolate"
246,"turkey,beef,frozen vegetables,dishes,photo/film"
247,"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags"
248,"whole milk,beverages"
249,"rolls/buns,soda"
250,"sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles"
251,ice cream
252,liquor
253,"pip fruit,other vegetables,fruit/vegetable juice"
254,"root vegetables,other vegetables,yogurt"
255,soda
256,soda
257,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers"
258,"root vegetables,whole milk,pet care,detergent"
259,"pork,berries,root vegetables,other vegetables,pastry,specialty bar"
260,pork
261,chocolate
262,fruit/vegetable juice
263,"pickled vegetables,coffee"
264,bottled water
265,"frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices"
266,"tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins"
267,canned beer
268,root vegetables
269,"meat,citrus fruit,berries,root vegetables,whole milk,soda"
270,"frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles"
271,"tropical fruit,margarine,rum"
272,"tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles"
273,"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese,domestic eggs,brown bread,margarine,baking powder,waffles"
274,"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice"
275,"chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles"
276,"chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns"
277,"frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda"
278,canned beer
279,"turkey,pip fruit,salad dressing,pastry"
280,"packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages"
281,pasta
282,"citrus fruit,tropical fruit"
283,"sausage,whole milk,yogurt,rolls/buns,brown bread,potted plants"
284,"whole milk,frozen meals,pastry,fruit/vegetable juice,waffles"
285,canned beer
286,"citrus fruit,sugar,sauces"
287,liquor (appetizer)
288,"citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags"
289,sausage
290,"chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers"
291,"hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine"
292,"sausage,pork,other vegetables,dessert,yogurt,oil,soda"
293,"beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner"
294,"citrus fruit,packaged fruit/vegetables,yogurt,bottled water"
295,"UHT-milk,coffee"
296,candy
297,newspapers
298,"beef,citrus fruit,other vegetables,yogurt"
299,"sausage,rolls/buns"
300,"frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins"
301,canned beer
302,bottled beer
303,"onions,soda,chewing gum,chocolate,newspapers"
304,"tropical fruit,packaged fruit/vegetables,cream cheese,white bread,candy"
305,"bottled water,white wine"
306,"beef,white bread,pastry,pasta,soap"
307,"sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner"
308,hair spray
309,"chicken,whole milk,spices,long life bakery product,shopping bags"
310,"pork,citrus fruit,brown bread,pastry,sugar,cat food"
311,ice cream
312,"meat,hard cheese,bottled beer"
313,"other vegetables,yogurt,brown bread,instant coffee"
314,"bottled water,cake bar"
315,"tropical fruit,soda,salty snack"
316,photo/film
317,"sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes"
318,"grapes,root vegetables"
319,"domestic eggs,brown bread,photo/film"
320,"rolls/buns,canned fish,canned beer"
321,"tropical fruit,whole milk"
322,chicken
323,"frankfurter,other vegetables,yogurt,brown bread,bottled water"
324,"berries,root vegetables,other vegetables,curd,butter milk,cream cheese,roll products,margarine,misc. beverages,specialty chocolate,detergent"
325,"margarine,hygiene articles"
326,"tropical fruit,yogurt,rolls/buns,soda,shopping bags"
327,"ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy"
328,"hamburger meat,white bread,salty snack"
329,"yogurt,mayonnaise,rolls/buns,soda,napkins"
330,"soda,specialty chocolate"
331,yogurt
332,soda
333,bottled water
334,"sausage,meat,hamburger meat,rubbing alcohol"
335,"citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles"
336,shopping bags
337,newspapers
338,"frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner"
339,"sausage,citrus fruit,whole milk,canned beer"
340,"frankfurter,rolls/buns"
341,"salt,salty snack,cookware"
342,oil
343,"curd,beverages,cream cheese,rolls/buns,pastry,soda,cake bar,chewing gum"
344,"other vegetables,butter,specialty chocolate"
345,citrus fruit
346,"frankfurter,whole milk,butter milk"
347,"root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack"
348,"tropical fruit,whole milk,frozen meals,bottled beer"
349,"beef,hamburger meat,pip fruit"
350,"berries,whipped/sour cream,cereals,waffles,shopping bags"
351,canned beer
352,"whipped/sour cream,canned beer,red/blush wine"
353,"root vegetables,domestic eggs,margarine,chocolate marshmallow,candy"
354,"whole milk,soda"
355,beef
356,frozen vegetables
357,"rolls/buns,bottled beer"
358,"whole milk,hygiene articles"
359,whole milk
360,"citrus fruit,whole milk,curd,soft cheese"
361,"pastry,fruit/vegetable juice"
362,"frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread"
363,"tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs"
364,"frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins"
365,"berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent"
366,"rolls/buns,brown bread,pastry,coffee,bottled beer"
367,"root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee"
368,yogurt
369,"other vegetables,bottled water"
370,"berries,white bread"
371,"berries,coffee"
372,"other vegetables,butter milk,frozen meals,bottled water"
373,"rolls/buns,newspapers"
374,"ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles"
375,"whole milk,frozen dessert,salty snack,napkins"
376,"tropical fruit,butter milk,rolls/buns,bottled water"
377,bottled water
378,"butter milk,yogurt"
379,newspapers
380,coffee
381,"bottled beer,liquor"
382,"onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags"
383,"hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags"
384,"sausage,liver loaf,other vegetables,cream cheese,pastry,soap,shopping bags"
385,"hard cheese,pastry,napkins"
386,"sausage,tropical fruit,condensed milk,rolls/buns"
387,hamburger meat
388,"onions,whole milk,beverages,frozen dessert"
389,coffee
390,shopping bags
391,"yogurt,rolls/buns,pastry,bottled water,soda,shopping bags"
392,soda
393,sliced cheese
394,"sausage,whole milk,coffee"
395,"yogurt,chocolate"
396,"domestic eggs,rolls/buns,dish cleaner,hygiene articles"
397,whole milk
398,"meat,other vegetables,whole milk,whipped/sour cream"
399,"dish cleaner,bathroom cleaner,hygiene articles,napkins"
400,"other vegetables,red/blush wine"
401,"whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags"
402,"other vegetables,whole milk,rolls/buns,Instant food products"
403,"tropical fruit,other vegetables"
404,"baking powder,bottled water,salty snack,chewing gum"
405,specialty bar
406,ice cream
407,"frankfurter,yogurt"
408,canned beer
409,bottled water
410,"other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer"
411,"citrus fruit,tropical fruit,onions,other vegetables,shopping bags"
412,"sausage,ham,hamburger meat,whole milk,soda,softener,newspapers"
413,"domestic eggs,rolls/buns,specialty bar,napkins"
414,"pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles"
415,"specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack"
416,"pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine"
417,"beef,berries,whipped/sour cream,domestic eggs,rolls/buns"
418,"other vegetables,pet care"
419,"chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes"
420,"soda,chewing gum"
421,whole milk
422,rolls/buns
423,bottled beer
424,"root vegetables,pastry,bottled water,male cosmetics"
425,pastry
426,"berries,pet care,cake bar,shopping bags"
427,"citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener"
428,"whole milk,oil,canned fruit,fruit/vegetable juice"
429,"soda,misc. beverages"
430,"bottled water,soda"
431,"tropical fruit,other vegetables,rolls/buns"
432,salty snack
433,"bottled water,canned beer"
434,chocolate
435,"citrus fruit,UHT-milk,cream cheese,frozen vegetables"
436,"bottled water,canned beer,male cosmetics"
437,"onions,other vegetables,pastry,bottled water,soda,napkins"
438,"dessert,oil,cat food,soda"
439,"beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers"
440,"rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy"
441,"beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda"
442,soda
443,"coffee,hygiene articles"
444,"rolls/buns,brown bread,bottled water"
445,"pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags"
446,"soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers"
447,"sausage,ham,other vegetables,ice cream,white bread"
448,"beef,root vegetables,other vegetables,rolls/buns,sugar"
449,"whole milk,butter,bottled water,bottled beer"
450,"pork,ice cream,hygiene articles,house keeping products"
451,"berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar"
452,"sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products"
453,"bottled water,misc. beverages,cling film/bags"
454,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water"
455,"herbs,bottled water"
456,"yogurt,rolls/buns"
457,Instant food products
458,specialty chocolate
459,coffee
460,"bottled beer,liquor"
461,"beef,root vegetables"
462,"whole milk,honey,waffles"
463,"frankfurter,rolls/buns,pastry,snack products,specialty bar"
464,"frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles,photo/film"
465,"other vegetables,whole milk,cream cheese"
466,"frankfurter,root vegetables,pickled vegetables,soda,seasonal products"
467,"whole milk,rolls/buns,newspapers"
468,"frankfurter,margarine,dental care"
469,"other vegetables,salty snack"
470,"bottled water,shopping bags"
471,"pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles"
472,bottled water
473,"other vegetables,whipped/sour cream,specialty cheese,domestic eggs"
474,"hamburger meat,whole milk,curd,pasta,canned beer"
475,"hamburger meat,citrus fruit,other vegetables"
476,shopping bags
477,"whole milk,cream cheese,soda,fruit/vegetable juice"
478,ice cream
479,"pastry,bottled water"
480,"ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese,white bread,coffee,long life bakery product,chocolate,baby cosmetics"
481,"frankfurter,soda"
482,"sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins"
483,bottled beer
484,"bottled water,bottled beer,napkins"
485,"meat,other vegetables,hard cheese,frozen meals,bottled water,soda"
486,"dessert,candy"
487,"other vegetables,packaged fruit/vegetables,UHT-milk,bottled water"
488,"beverages,rolls/buns,soda"
489,"ham,mustard,canned fish"
490,specialty bar
491,"brown bread,soda,salty snack,shopping bags"
492,"whole milk,cream cheese,coffee"
493,"rolls/buns,pastry,red/blush wine"
494,"bottled beer,nut snack"
495,"pet care,bottled beer"
496,"citrus fruit,other vegetables,soda"
497,"pork,other vegetables,frozen vegetables,hygiene articles"
498,"other vegetables,shopping bags"
499,"white wine,detergent"
500,"whole milk,dessert,bottled water"
501,"pip fruit,white wine,shopping bags"
502,"sugar,soda,bottled beer"
503,"tropical fruit,pip fruit,rolls/buns,coffee,fruit/vegetable juice,candy"
504,"root vegetables,cream cheese,spread cheese,frozen dessert,white bread,bottled water,soda,misc. beverages,fruit/vegetable juice,bottled beer"
505,"soda,misc. beverages"
506,"whole milk,curd"
507,"tropical fruit,other vegetables,yogurt,bottled water,male cosmetics"
508,"white bread,brown bread"
509,"brown bread,sugar,hygiene articles"
510,"tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags"
511,domestic eggs
512,"coffee,detergent,hygiene articles,photo/film"
513,soda
514,whole milk
515,bottled beer
516,"pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers"
517,"other vegetables,yogurt"
518,"yogurt,bottled water,dishes"
519,sparkling wine
520,"bottled water,candy"
521,"citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles"
522,"hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns"
523,"packaged fruit/vegetables,seasonal products"
524,"other vegetables,margarine"
525,soda
526,"whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack"
527,"herbs,yogurt"
528,"citrus fruit,spread cheese,rolls/buns,soda"
529,misc. beverages
530,female sanitary products
531,soda
532,"tropical fruit,whole milk,beverages,white bread,pasta,shopping bags"
533,"soda,female sanitary products"
534,"white bread,bottled water,soda,waffles"
535,"coffee,chewing gum,chocolate marshmallow"
536,"tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow"
537,"pork,pip fruit,whole milk,butter milk"
538,"citrus fruit,bottled water"
539,frankfurter
540,"frankfurter,rolls/buns"
541,"frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles,napkins,shopping bags"
542,other vegetables
543,"yogurt,fruit/vegetable juice,newspapers"
544,"sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda"
545,whole milk
546,"pip fruit,whole milk,curd,pastry,bottled water"
547,whole milk
548,"root vegetables,other vegetables"
549,"onions,fruit/vegetable juice"
550,specialty chocolate
551,"hamburger meat,domestic eggs"
552,photo/film
553,"rolls/buns,soda,snack products,newspapers"
554,canned beer
555,canned beer
556,"other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles"
557,canned beer
558,"curd,whipped/sour cream,rolls/buns,zwieback,spices"
559,"butter,fruit/vegetable juice,newspapers"
560,"other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda"
561,whole milk
562,"beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese"
563,"sausage,rolls/buns"
564,soda
565,"fruit/vegetable juice,long life bakery product"
566,"rolls/buns,coffee,long life bakery product,detergent,shopping bags"
567,"pip fruit,whole milk,bottled water,candy"
568,"frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers"
569,beverages
570,"hamburger meat,root vegetables,other vegetables,domestic eggs,roll products,oil,margarine,hygiene articles"
571,"root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine"
572,canned beer
573,"frozen vegetables,bottled beer"
574,canned beer
575,newspapers
576,rolls/buns
